recipe_name,original_recipe_name,ingredients,ingredient_count,ingredients_original,cooking_steps,cooking_method,meal_tags,servings,calories,carbohydrate,protein,fat,sodium_mg,sodium_point,tips,source_book,health_tags,diet_type
Seafood Paella,Paella Makanan Laut,"rice, chicken breast, prawn, crab meat, cockle, mussel, celery stick, mixed vegetable, red capsicum, green capsicum, onion, garlic",12,"480 g (2 cups) rice washed and drained, 150 g (½ cup) skinless chicken breast cut into small pieces, 400 g (4 cups) prawns peeled, 100 g crab meat, 60 g (6 pieces) cockles cleaned, 60 g (7 pieces) mussels cleaned, 30 g (¼ cup) celery stalk diced, 220 g (1 cup) mixed vegetables (corn, carrot and peas), 30 g (¼ cup) red and green capsicum diced, 30 ml (2 tablespoons) lemon juice, 26 g (1 piece) onion diced, 20 g (4 cloves) garlic chopped, 330 ml (1¾ cups) chicken stock, 3 g (½ teaspoon) sweet paprika powder, 7 g (½ tablespoon) turmeric powder, 1 stalk chinese celery chopped, 30 ml (2 tablespoons) olive oil, Salt and white pepper to taste, Garnish: lemon slices","Heat olive oil in a medium large pot. Sauté onion, garlic, red capsicum, green capsicum and celery stick until crisp and browned. Add rice followed by paprika powder and turmeric. Pour chicken stock with chicken breast and let boil. Add crab meat, prawn, cockles and mussels. Mix well, then add salt and white pepper to taste to make paella. Cover paella and simmer over small fire for about 20 to 25 minutes until cooked. Then add mixed vegetables with lemon juice. Mix well and cook briefly until vegetables are slightly soft. Turn off heat and serve while hot with lemon slices and chinese celery.",boil,dinner,4 – 5 person,374,64.4,19.4,4.6,NULL,NULL,"This recipe is good because it contains various types of low-fat seafood. It is also a complete dish because it contains carbohydrates from rice, protein and minerals from seafood, and vitamins from vegetables. Paella can be found in various types, depending on the available local ingredients. Therefore, it is known as a versatile food in Spain.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"high_protein, low_fat, balanced",mixed
Shepherd's Pie,Shepherd’s Pie,"minced meat, potato, carrot, button mushroom, milk, mozzarella cheese, onion, wheat flour",8,"300 g (¾ packet) minced meat, 450 g (5 pieces) potatoes, 50 g (½ piece) carrot roughly chopped, 70 g (½ cup) button mushroom thinly sliced, 125 ml (½ cup) milk, 120 g (1 cup) Mozzarella cheese grated, 26 g (1 piece) onion sliced, 16 g (2 tablespoons) wheat flour/wholemeal flour dissolved in ½ cup water, 375 ml (1½ cups) homemade vegetable stock, 7 g (1 tablespoon) black pepper powder, 15 ml (1 tablespoon) soy sauce, 7 ml (½ tablespoon) honey, 15 ml (1 tablespoon) oil, A few sprigs / a little thyme leaves powder, Salt and white pepper to taste","Mix minced meat with black pepper powder, soy sauce, honey and thyme leaves. Marinate for 2 hours. Boil potatoes with skin. Once soft, peel skin and mash with milk and cheese. Set aside. Sauté onion with oil until fragrant and add marinated meat. Sauté until meat is cooked and no longer pink. Pour vegetable stock with carrot. Simmer until carrot is soft, then add mushroom. Add salt and white pepper to taste and continue simmering over slow fire. When meat is cooked, add flour solution. Mix well until mixture becomes thick. Turn off heat. Place cooked minced meat on a medium baking dish and level the surface. Cover meat surface with mashed potato until finished and covering the surface of baking tray. Use a fork to make patterns on the mashed potato. Bake in oven at 180°C for 25 minutes or until top of mashed potato becomes browned. Cut into several parts and serve hot.",bake,dinner,7 person,228,16.4,16,10.9,NULL,NULL,"Before adding dried herbs to a dish, rub the herbs between your fingers to release the volatile oils. Add the herbs in the early stages of cooking so their flavors can be well absorbed into the dish. Add other vegetables like peas, celery stalks, and corn to increase nutrient content. A good way to encourage your child to eat meat is to mince it, making it easier for children to eat.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein",beef
Hokkien Prawn Noodles,Mi Udang Hokkien,"yellow noodle, rice vermicelli, water spinach, bean sprout, tomato, egg, chicken, prawn, fresh chilli, shallot, garlic",11,"300 g (3 cups) yellow noodle blanched, 150 g (½ piece) rice vermicelli soaked and blanched, 300 g (4 cups) water spinach hard stems removed and blanched, 500 g (3 cups) bean sprouts blanched, 50 g (2 medium pieces) tomato quartered, 3 hard boiled eggs peeled and halved, Garnish: Fried onion (optional), 200 g lean chicken with bone, 150 g prawns with head and shell, 2.5 liters (10 cups) water, Salt to taste, 10 g dried chilli deseeded and blanched, 25 g (3 pieces) fresh chillies, 3 tablespoons dried shrimp, 50 g (5 pieces) shallot, 15 g (3 cloves) garlic, 45 ml (3 tablespoons) cooking oil, 250 ml (1 cup) water, Brown sugar to taste","To make chilli paste, blend chilli paste ingredients until fine and combined. Heat oil in a pan. Sauté chilli paste briefly and add water. Continue cooking for about 10 minutes over medium heat until water is slightly dried and oil separates. Stir constantly. Add brown sugar and mix briefly. Turn off heat and set aside. Pour water into a pot and boil. Add prawn and chicken. Simmer over medium heat for about 1.5 hours or until stock becomes cloudy. Remove prawn and chicken and transfer to a plate. Let cool briefly and remove prawn heads and shells. Separate chicken meat from bone and slice chicken meat thinly. Boil the stock again and add a few spoons of chilli paste, according to spicy preference. Add salt to taste and turn off heat. Finally add tomato. To serve, place a ladle of noodles and vermicelli, water spinach and bean sprouts in a bowl. Pour gravy and garnish with sliced chicken meat, prawn, egg and fried onion. Serve while hot.",boil,dinner,6 person,348,42.7,20.1,10.8,NULL,NULL,"This recipe is a complete meal. Eggs, prawns, and chicken are protein sources. Vegetables like water spinach and bean sprouts are sources of minerals and vitamins, while carbohydrates are supplied by yellow noodles and rice vermicelli.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"high_protein, balanced",mixed
Beef and Cheese Lasagna,Lasagna Daging dan Keju,"minced beef, lasagna sheet, carrot, spinach, mozzarella cheese, parmesan cheese, olive, garlic, tomato, yellow onion",10,"200 g (½ packet) minced beef, 8-10 lasagna sheets, 50 g (½ piece) carrot cut lengthwise, 60 g (1½ cups) spinach chopped, 90 g (1½ cups) Mozzarella cheese grated, 90 g (3 cups) Parmesan cheese grated (optional), 140 g preserved olives sliced (optional), 15 g (3 cloves) garlic chopped, 4 g fried onion, 125 ml (1 cup) warm water, 130 g (5 pieces) ripe tomato blended, 50 g (2 pieces) yellow onion peeled and diced, 25 g (5 cloves) garlic chopped, 30 ml (2 tablespoons) olive oil, 30 g (2 tablespoons) dried herb mixture (basil, oregano, rosemary, thyme, etc.), 250 ml (1 cup) water, Salt brown sugar and white pepper to taste","To make Marinara sauce, heat olive oil in a pot. Sauté onion over medium heat until browned and soft. Add garlic, dried herb mixture and sauté until fragrant. Pour water and tomatoes with juice and stir until combined. Simmer over slow fire, stirring until gravy becomes thick. Add salt, brown sugar and white pepper to taste. Turn off heat, sprinkle fried onion and let cool. To make meat filling, fry meat with garlic over medium heat with a little oil. Then add water and simmer until meat is cooked and tender. Add carrot, spinach and olives. Cook until vegetables are soft and stir constantly. Add Marinara sauce and stir until combined. Turn off heat and remove from pot. Preheat oven to 190°C. Layer bottom of a medium baking bowl with meat filling, then cover with a sprinkle of a little Parmesan cheese with Mozzarella cheese. Cover with dried lasagna. Repeat layers with meat filling, cheese and lasagna until all ingredients are used. Save 1/2 cup Mozzarella cheese for the final surface layer. Bake for 45 minutes in oven until cooked, depending on thickness of lasagna layers. Lasagna is cooked when a knife pierces into it easily. Sprinkle remaining cheese on the final layer, and put back into oven for about 10 minutes. Serve while hot.",bake,dinner,8 person,251,19.5,16.4,11.9,NULL,NULL,"Beef can also be replaced with chicken meat. You can also substitute or add more vegetables such as peas, brinjal, and broccoli. Beef is a good source of protein and iron, while cheese is a good source of calcium. This recipe is not only suitable for those who like western food, but it is also nutritious for your whole family.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein",beef
Spinach Fried Rice,Nasi Goreng Bayam,"brown rice, fish fillet, spinach leaf, tomato, onion",5,"480 g (2 cups) brown rice washed and drained, 150 g (½ cup) fish fillet grilled and sliced, 300 g (5 cups) spinach leaves hard stems removed and chopped, 50 g (2 pieces) tomato diced, 6 stalks spring onion thinly sliced, 26 g (1 piece) onion sliced, 3 g (1 teaspoon) cardamom powder, 4 stalks coriander leaves chopped, 70 g (½ piece) lemon juice squeezed, 500 ml (2 cups) water, 15 ml (1 tablespoon) oil, 2.5 ml (½ teaspoon) sesame oil, Salt and white pepper to taste","Heat oil in a pot and sauté onion until fragrant and browned. Add spinach into the pot with a few spoons of water. Slowly stir spinach, add cardamom powder and tomato with a pinch of salt and white pepper to taste. Cook for another 2 minutes and then add rice together with 2 cups water. Cook over medium heat until rice is cooked. Reduce heat and add fish, sesame oil, lemon juice, spring onion and chopped coriander leaves. Mix until combined. Turn off heat. Serve hot in a plate.",stir_fry,lunch,4 – 5 person,201,26.7,12.6,4.9,NULL,NULL,"Serve with a chicken or fish dish to make a complete meal. If your family members do not like vegetables, this recipe is a smart way to encourage vegetable consumption.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Penne Pasta with Brinjal and Cheese,Pasta Penne dengan Terung dan Keju,"penne pasta, chicken meat, brinjal, cheese, tomato, green capsicum, garlic",7,"250 g (¾ packet) Penne pasta, 120 g (1 cup) chicken meat cut into cubes, 300 g (2 pieces) brinjal cut into 2 cm cubes, 60 g (½ cup) grated cheese, 100 g (4 pieces) tomato diced, 30 g (½ piece) green capsicum thinly sliced, 30 ml (2 tablespoons) olive oil, 180 ml (¾ cup) homemade chicken stock, 10 g (2 cloves) garlic pounded, 1 stalk parsley chopped, Salt and black pepper to taste","Cook penne pasta in boiling water. Drain and set aside. Place brinjal in a large colander and sprinkle with a little salt. Leave for about 30 minutes. Remove excess liquid before baking. Grill brinjal on a flat pan with a little oil. When brinjal becomes brown, remove from pan and set aside. Sauté onion until browned. Add chicken and sauté until cooked. Add capsicum and tomato, then add chicken stock. Simmer for 5 minutes. Add brinjal and parsley leaf into the sauce and continue simmering for 2 minutes. Add salt and black pepper to taste, then reduce heat. Mix pasta into the sauce and sprinkle cheese. Stir briefly and turn off heat. Serve while hot.",stir_fry,dinner,4 person,343,52.1,19.7,6.2,NULL,NULL,"Choose whole wheat pasta as it has higher fiber and nutrients. Penne (PEN-nay) is one of the popular pasta shapes, especially in the Campania region of southern Italy. Penne comes from the Italian word meaning quill pen. It is usually 2 inches wide and straight-tubed cut diagonally resembling the tip of a chicken feather.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"high_protein, low_fat",chicken
Mini Fish Pie,Pai Ikan Mini,"potato, fish fillet, milk, cheddar cheese, green pea, onion, wholemeal flour, egg",8,"270 g (3 medium pieces) potatoes, 180 g (1 cup) fish fillet minced, 30 g (2 tablespoons) butter, 125 ml (½ cup) milk, 60 g (½ cup) Cheddar cheese grated, 50 ml (⅕ cup) homemade vegetable stock, 30 g (2 tablespoons) green peas, 25 g (1 piece) onion finely chopped, 8 g (1 tablespoon) wholemeal flour, 3 g (1 tablespoon) parsley leaves chopped, 1 basil leaf, 1 egg beaten, Salt and white pepper to taste","Preheat oven to 180°C. Boil water in a pot containing a little salt and boil potatoes for 15-20 minutes. Remove potatoes and peel skin. Mash with a little milk and half the butter until soft. Melt remaining butter in a pot, add onion and sauté until crisp. Add flour and cook for 30 minutes. Pour remaining milk slowly into the bowl, followed by vegetable stock. Boil and leave for 1 minute. Add fish, parsley leaf and basil leaf. Cook for 3 minutes then add green peas and cook again for 1 minute. Remove basil leaf and add cheese until cheese melts. Sprinkle white pepper and salt to taste. Pour fish filling into baking bowl and cover with mashed potato. Brush with a little beaten egg. Bake in preheated oven for 15 minutes until golden yellow. Garnish pie with vegetables.",bake,snack,5 person,198,12.7,14.5,9.9,NULL,NULL,This pie is also suitable for toddlers aged 1-2 years. Leftover pie can be frozen.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Tuna and Corn Croquette,Croquette Tuna dan Jagung,"tuna, potato, wholemeal breadcrumb, corn kernel, egg",5,"180 g (1 can) tuna in water drained and mashed, 180 g (2 large pieces) potatoes boiled and peeled, 100 g (1 cup) wholemeal breadcrumbs, 60 g (¼ cup) fresh corn kernels, 2 eggs, 3 g (1 teaspoon) coriander seeds finely pounded, Salt and white pepper to taste, Enough cooking oil, Garnish: Lemon and cucumber slices or fresh salad leaves (optional)","Mash boiled potatoes in a bowl. Mix tuna, corn kernels, and coriander. Add salt and white pepper to taste. Shape into 7 croquette pieces. Beat egg in a large bowl. Dip croquette pieces into egg mixture immediately and coat with breadcrumbs. Fry in hot oil until croquette pieces become browned. Drain excess oil and place croquette on absorbent paper. Serve immediately with sliced cucumber or salad leaves with lemon and chilli sauce.",fry,snack,7 keping,106,15.4,8.9,1,NULL,NULL,Tuna is sold in various types in the market. It is recommended to choose tuna in water without salt compared to those soaked in oil. You can also bake the croquettes in the oven at 180°C for 15 minutes.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Spinach Quiche with Cheese,Quiche Bayam bersama Keju,"wholemeal bread, chicken ham, egg, cheese, spinach, onion, self-raising flour",7,"4 pieces wholemeal bread, 45 g (1 piece) chicken ham chopped, 4 eggs, 60 g (½ cup) cheese grated, 30 g (½ cup) spinach chopped, 15 g (1 tablespoon) butter, 10 g (1 tablespoon) onion chopped, 10 g (1 tablespoon) self-raising flour, 2 stalks coriander leaves finely chopped, Salt and white pepper to taste","Remove bread crusts. Spread bread with a little butter. Arrange bread in a medium bowl with buttered side facing up. Place ham in a separate bowl. Mix spinach, onion, egg, coriander leaf, cheese and flour into that bowl. Stir evenly using a fork. Add salt and white pepper to taste. Pour egg mixture over bread arrangement. Place in microwave oven and cook for 8 minutes or bake in oven for 15 minutes at 190-200°C. Prick quiche with a knife to ensure it is cooked enough. If cooked enough, knife can be removed cleanly. Serve hot or cold.",bake,snack,4 – 5 person,128,10.5,6.2,6.8,NULL,NULL,"Whole wheat bread contains essential B-complex vitamins such as pantothenic acid (vitamin B5), pyridoxine (vitamin B6), thiamine (vitamin B1) and niacin (B3). These vitamins are essential for fat, protein, and carbohydrate metabolism in the body. The body cannot produce them on its own, so it needs to get them from other sources, namely food.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",chicken
Pita Bread Kebab,Kebab Roti Pita,"wholemeal pita bread, meat, cucumber, onion, tomato, black mushroom, lettuce leaf",7,"3 pieces wholemeal pita bread, 200 g (1 cup) meat fat removed and minced, 40 g (¼ piece) cucumber thinly sliced, 25 g (1 piece) onion chopped, 25 g (1 piece) tomato thinly sliced, 10 g (5 pieces) dried black chinese mushroom soaked and thinly sliced, A few lettuce leaves, 2 g (½ teaspoon) black pepper powder, 3 g (1 teaspoon) curry powder, 5 g (1 teaspoon) spice mixture (cinnamon, cumin, etc.), Salt to taste, A little oil for frying, Low-fat mayonnaise and chilli sauce (optional)","Heat oil in a pan and sauté onion until fragrant. Add spice mixture, curry powder and black pepper until fragrant. Add meat and sauté until slightly dry. Add salt and white pepper to taste until meat is cooked. Add a little water if too dry. Add black mushroom and continue cooking until mushroom becomes soft. Heat pita bread on a flat pan over slow fire. Cut pita bread in half and split the inside of the bread to make a pocket for inserting meat filling. Insert clean lettuce and arrange cucumber and tomato slices into the pita bread pocket. Insert a spoonful of meat filling into the pita bread pocket and level it between vegetables. Place chilli sauce and mayonnaise on top of meat filling and serve.",stir_fry,snack,6 keping,136,19.5,11.2,1.5,NULL,NULL,Choose pita bread made from whole wheat flour which is rich in fiber. Yogurt can be used to replace mayonnaise because it is low in fat and high in calcium.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",beef
Beef Oat Burger,Burger Oat Daging,"minced meat, oat, garlic, onion, ginger, egg",6,"400 g (1 packet) lean minced meat, 86 g (1 cup) oats, 20 g (4 cloves) garlic, 26 g (1 piece) onion, 10 g (½ inch) ginger, 1 egg, 5 ml (1 teaspoon) light soy sauce, A little dried herb mixture (basil, oregano, rosemary, thyme, etc.) (optional), 1 stalk coriander leaves chopped, Salt and white pepper to taste, Aluminum foil","Mix all ingredients together in a bowl until combined. Add salt and white pepper to taste. Shape mixture into thin burger shapes and place on aluminum foil. Next, place into a container. Repeat steps until mixture is used up. Keep in refrigerator overnight. Fry with a little oil until the outside of the meat becomes brown. Then bake it in oven for 10-15 minutes until cooked.",fry,snack,4 – 5 person,179,15.2,21.6,3.5,NULL,NULL,"Serve with whole wheat bread, salad, sliced cucumber and tomato, ketchup, and cheese.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",beef
Cheesy Pasta,Pasta Berkeju,"macaroni, chicken breast, broccoli, milk, cheddar cheese, flour",6,"130 g (1½ cups) macaroni, 120 g (½ cup) skinless chicken breast sliced, 70 g (¾ cup) broccoli finely chopped, 250 ml (1 cup) low-fat milk, 60 g (½ cup) grated Cheddar/Mozzarella cheese, 15 g (1 tablespoon) butter, 10 g (1 tablespoon) flour, 15 ml (1 tablespoon) oil, Salt and white pepper to taste, A pinch of dried basil powder (optional)","Cook macaroni in boiling water until soft and drain. Heat oil in a pan and sauté chicken until half cooked. Add broccoli and continue cooking until soft. Turn off heat and separate. For white sauce, melt butter in a pan over medium heat and mix milk with flour. Wait until it starts to boil and mix in cheese. Then, stir until melted and combined. Add chicken with broccoli and macaroni, continue stirring. Add salt, white pepper and dried basil powder to taste. Stir for 2 minutes until cooked enough. Let cool briefly and serve.",stir_fry,snack,4 – 5 person,236,22.7,12.4,10.6,NULL,NULL,Adding vegetables to pasta can encourage picky children to enjoy new flavors. Try varying flavor and color combinations!,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,low_calorie,chicken
Baked Potato,Ubi Kentang Bakar,"potato, chicken breast, tomato, cheese",4,"270 g (3 medium pieces) potatoes (preferably Russet type), 120 g (½ cup) chicken breast fat and skin removed grilled and chopped, 25 g (1 piece) tomato chopped, 2 tablespoons grated cheese, 2 stalks spring onion chopped, A little dried basil leaf powder, Salt and white pepper to taste","Wash and scrub potatoes until clean. Dry and prick the whole potato skin with a fork. Wrap loosely using damp cloth. Place into microwave oven and cook for 10 minutes. Can also bake the potato in an oven at 180°C for 1 hour. Meanwhile, mix tomato, minced chicken and chopped spring onion in a small bowl with grated cheese and sprinkle a little basil leaf. Sprinkle a little salt and white pepper to taste. Remove potato from microwave oven. When potato is cool, cut the top part to become a lid. Scoop out potato flesh and leave excess flesh 1 cm thick shaped like a boat. Mix the scooped potato flesh with tomato mixture, and insert a little filling into the potato boat. Place into microwave oven and cook for 1 minute or in oven for 2 minutes at 200°C, or until top becomes golden brown. Remove from oven and serve with salad.",bake,snack,3 person,192,28.5,12.4,3.2,NULL,NULL,"Eat potatoes with their skin, because it has high fiber content and is good for the digestive system.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",chicken
Peanut Butter Banana Spring Roll,Popia Pisang Mentega Kacang,"popiah skin, banana, peanut butter, peanut",4,"4 pieces spring roll wrappers steamed (preferably use wet ones), 200 g (2 pieces) bananas halved, 50 g (2 tablespoons) peanut butter, 30 ml (2 tablespoons) honey, 30 g (1 tablespoon) peanuts crushed, 2.5 g (1 teaspoon) corn flour mixed with ½ cup water","Place banana in the middle of wrapper. Spread peanut butter on banana. Add a little honey on peanut butter, followed by crushed peanuts. Roll the wrapper. Next brush corn flour on the fold flap to strengthen the wrap. Keep in plastic bag and freeze overnight (at least 4 hours to ensure banana is truly frozen). Cut according to preferred size and serve cold.",mix,snack,4 person,261,35.2,8.8,9.4,NULL,NULL,No specific tip provided.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegan
Layered Vegetable Biscuit,Biskut Lapis Sayuran,"biscuit, yogurt, lettuce leaf, carrot, cheese",5,"8 pieces small-sized biscuits, 125 g (½ cup) yogurt, 54 g (1 cup) lettuce leaves cut to biscuit size, 30 g (¼ cup) carrot grated, 36 g (1 piece) cheese divided into 8 portions","Mix yogurt with grated carrot. Place lettuce leaf on biscuit. Spread a thin layer of yogurt and carrot on salad. Then place another piece of biscuit on the yogurt layer. Then, place a piece of cheese on the biscuit followed by salad and finally a thin layer of yogurt with carrot. Serve.",mix,snack,4 person,135,17.3,5.4,4.9,NULL,NULL,"There are many types of biscuits in the market. Make a smart choice by choosing biscuits made from whole wheat flour, as well as those low in salt, sugar, and fat.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
Crispy Chicken Fingers,Jejari Ayam Rangup,"chicken meat, cornflake, egg, wheat flour",4,"360 g (1½ cups) chicken meat skin and bones removed, 200 g (2 cups) cornflakes crushed, 1 egg, 8 g (½ tablespoon) mustard, 1 teaspoon honey, A little wheat flour, Salt and white pepper to taste, Chilli or tomato sauce (optional)","Preheat oven to 230°C. Cut chicken into 4-inch long strips. Coat chicken strips with flour. In a bowl, mix egg, honey, salt and mustard. In another bowl, mix cornflakes with white pepper. Dip chicken strips into egg mixture. Then, insert chicken strips into cornflake mixture and coat evenly. Arrange chicken strips on a baking tray lined with paper liner. Bake in oven for 12 minutes, or until chicken strips become golden yellow. Serve with chilli or tomato sauce.",bake,snack,5 – 6 person,208,29.7,16.3,2.7,NULL,NULL,Use a paper liner/parchment paper on the baking tray to prevent the bottom of the chicken fingers from burning.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",chicken
Cheesy Tomato Tart,Tat Tomato Berkeju,"pita bread, cheese, cucumber, tomato, shallot",5,"1 packet pita bread/tortilla, 120 g (1 cup) grated cheese, 135 g (½ piece) small cucumber thinly sliced, 25 g (1 piece) tomato thinly sliced, 25 g (1 piece) shallot chopped, 13 g (1 tablespoon) olive oil, 15 g (1 tablespoon) butter, 8 g (1 teaspoon) dried thyme (optional), Salt and white pepper to taste","Preheat oven to 200°C. Heat oil and butter in a pan under medium heat until butter melts. Add onion and cucumber, continue cooking and stirring until vegetables are cooked. Add thyme, salt and white pepper to taste. Place pita bread/tortilla on a baking tray. Pour onion filling mixture evenly on pita bread/tortilla, and leave 1-2 inches at the end. Sprinkle tomato and cheese evenly on filling mixture. Bake for 15 minutes or until pita bread/tortilla is browned and cheese melts. Remove from oven and serve.",bake,snack,4 – 6 person,203,17.7,7.9,11.2,NULL,NULL,Cheese is rich in calcium and is needed for children's bone health to support their physical growth.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,low_calorie,vegetarian
Whole Grain Apricot Biscuit,Biskut Aprikot Bijirin Penuh,"wheat flour, corn flour, whole cornflake cereal, whole wheat cereal, dried apricot, egg, cashew nut, almond, cherry",9,"175 g (1½ cups) wheat flour, 60 g (½ cup) corn flour, 60 g (2 cups) whole cornflake cereal finely ground, 60 g (2 cups) whole wheat cereal finely ground, 150 g (1 cup) dried apricot chopped, 150 g (¾ cup) butter or margarine, 100 g (½ cup) caster sugar, 5 g (1 teaspoon) baking powder, 5 ml (1 teaspoon) vanilla essence, 1 egg, For variety: garnish with nuts (e.g. cashew nuts, almonds) or cherries","Sift together wheat flour, corn flour and baking powder. Add whole cornflake cereal, whole wheat cereal and chopped apricot. Mix well and set aside. Mix butter, sugar and vanilla essence until it becomes a soft cream. Add egg and beat until combined. Add flour into butter mixture and mix well until it forms a dough. Flatten dough to 1 cm thick and cut using cookie cutter with preferred shape. Arrange dough on a baking tray greased with a little butter. Garnish with cherry. Bake in preheated oven at 180°C for 18-20 minutes or until golden brown. Remove from oven and let cool for 20 minutes.",bake,snack,60 biji biskut (12 person),202,23.6,3.3,10.7,NULL,NULL,No specific tip provided.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,low_calorie,vegetarian
Carrot Walnut Muffin,Muffin Walnut Lobak Merah,"self-raising flour, walnut, carrot, milk, egg",5,"240 g (1¾ cups) self-raising flour, ½ cup walnut ground, 120 g (1 cup) carrot grated, 125 ml (½ cup) fresh milk or yogurt, 2 eggs lightly beaten, 120 g (½ cup) butter, 3 g (1 teaspoon) baking powder, 3 g (1 teaspoon) cinnamon powder, 100 g (½ cup) brown sugar, 2 ml (½ teaspoon) vanilla essence or real vanilla","Preheat oven to 190°C. Grease baking tray with a little butter or oil and line with muffin cups. Sift flour, baking powder and cinnamon powder into a bowl. Add egg, butter and milk and beat briefly until combined and soft. In another bowl, mix brown sugar, grated carrot, walnut and vanilla essence. Stir until combined. Pour egg mixture into carrot mixture. Mix well using a wooden spoon until mixture becomes slightly lumpy and not too runny. Pour batter into muffin tray and bake for 20 minutes or until wooden tester comes out clean. Cool muffin tray for 5 minutes before transferring to cake rack.",bake,snack,16 biji muffin (8 person),220,24.5,4.5,11.5,NULL,NULL,"Sprinkle walnuts and grated carrots as a garnish and low-fat cream cheese as icing. Carrots are rich in Vitamin A, which is essential for eye health. Walnuts are rich in omega-3.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,low_calorie,vegetarian
"Banana ""O"" Milkshake",Susu Kocak Pisang “O”,"milk, banana, persone juice, yogurt",4,"250 g (1 cup) low-fat milk, 200 g (2 medium sized) ripe bananas cut to ¼ inch thick, 125 ml (½ cup) fresh squeezed persone juice, 150 g (1 cup) yogurt, Brown sugar to taste",Put all ingredients into a blender. Cover and blend for 45 to 60 seconds until smooth. Pour into a glass and serve cold.,mix,beverage,3 person,164,28.7,7,2.4,NULL,NULL,"Suitable for children who do not really like the taste of regular milk! The consumption of milk and dairy products is encouraged because they are rich sources of essential nutrients, including protein, retinol, riboflavin, vitamin D, vitamin B12, zinc, magnesium, and calcium.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
Hawaiian Tropical Juice,Jus Tropika Hawaii,"mango, persone, pineapple, papaya, guava",5,"230 g (1 medium piece) ripe mango, 135 g (1 piece) persone, 130 g (1 slice) pineapple, 600 g (1 medium piece) papaya, 325 g (1 medium piece) guava, 250 ml (1 cup) water, 8 ml (½ tablespoon) honey (optional), A few ice cubes",Peel fruits and remove all seeds. Blend fruits with water. Add honey to taste. Add ice cubes and serve immediately.,mix,beverage,6 – 8 person,93,19.3,2.7,0.5,NULL,NULL,This recipe is good for your children so they can consume more fruits rich in vitamins and minerals needed for their growth and development. You can create new flavors by mixing your children's favorite fruits together.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegan
Soy Bean Smoothie,Smoothie Kacang Soya,"soy milk, banana, apple, kiwi",4,"250 ml (1 cup) soy milk, 100 g (1 piece) banana peeled and cut, 100 g (1 piece) apple deseeded, 179 g (1 piece) kiwi peeled",Blend all ingredients together and serve cold.,mix,beverage,3 person,128,25,3.9,1.4,NULL,NULL,"Can be substituted with other local fruits like honeydew melon, watermelon, and so on. Soybeans are high in protein, fiber, and unsaturated fat, as well as rich in vitamins and minerals.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegan
